Supplier Type,Supplier Department,Supplier Role Title,Supplier Role Description,Benchmark Department,Benchmark Role Title,Benchmark Role Description,Benchmark Avg Rate,Confidence Score,Fully Loaded Rate,Rate Difference,Years of Experience,Estimated Hours,Currency,Total Rate,Threshold,Total Cost Difference
158866,social medium strategy,social medium content writer,"social medium content writer create engaging compelling content social medium platforms. write posts, captions, message resonate target audience align brand voice guidelines. collaborate social medium team develop content strategy drive engagement brand awareness.",social medium service,social medium strategist/planner,"develops social medium strategies, plan social medium campaigns, manages social medium content engagement initiatives.",145.5,0.72019786,133,-12.5,,1800,USD,239400,Medium,0.0
158866,social medium strategy,lead social medium strategist,"lead social medium strategist develop implement social medium strategy drive brand awareness, engagement, conversion. conduct audience research, create content plans, analyze social medium data optimize campaign performance. collaborate cross-functional team ensure social medium integration overall marketing efforts.",social medium service,associate director social medium communication,"assist developing social medium communication strategies, manages social medium content campaigns, support social medium team achieving objectives.",214.5,0.71343493,170,-44.5,,1800,USD,306000,Medium,0.0
158866,social medium strategy,social medium data analyst,"social medium data analyst analyze social medium data provide insight audience behavior, campaign performance, content effectiveness. use analytics tool track metrics, identify trends, make data-driven recommendations. collaborate social medium team stakeholder optimize social medium strategy achieve marketing objectives.",social medium service,director social medium communication,"set social medium communication strategy, oversees social medium campaigns, ensures effective brand messaging engagement social platforms.",272.0,0.70767725,113,-159.0,,1800,USD,203400,Medium,0.0
158866,social medium strategy,social medium data analyst,"social medium data analyst analyze social medium data provide insight audience behavior, campaign performance, content effectiveness. use analytics tool track metrics, identify trends, make data-driven recommendations. collaborate social medium team stakeholder optimize social medium strategy achieve marketing objectives.",social medium service,social medium strategist/planner,"develops social medium strategies, plan social medium campaigns, manages social medium content engagement initiatives.",145.5,0.702827,113,-32.5,,1800,USD,203400,Medium,0.0
158866,social medium strategy,social medium data analyst,"social medium data analyst analyze social medium data provide insight audience behavior, campaign performance, content effectiveness. use analytics tool track metrics, identify trends, make data-driven recommendations. collaborate social medium team stakeholder optimize social medium strategy achieve marketing objectives.",social medium service,senior social medium strategist,"develops advanced social medium strategies, conduct social medium audits, provides strategic guidance social medium campaigns.",164.0,0.69540846,113,-51.0,,1800,USD,203400,Low,0.0
158866,social medium strategy,social medium content writer,"social medium content writer create engaging compelling content social medium platforms. write posts, captions, message resonate target audience align brand voice guidelines. collaborate social medium team develop content strategy drive engagement brand awareness.",social medium service,associate director social medium communication,"assist developing social medium communication strategies, manages social medium content campaigns, support social medium team achieving objectives.",214.5,0.6942459,133,-81.5,,1800,USD,239400,Low,0.0
158866,social medium strategy,social medium content writer,"social medium content writer create engaging compelling content social medium platforms. write posts, captions, message resonate target audience align brand voice guidelines. collaborate social medium team develop content strategy drive engagement brand awareness.",social medium service,social medium strategist,"develops social medium strategies, manages social medium campaigns, analyzes social medium performance trends.",136.5,0.6920081,133,-3.5,,1800,USD,239400,Low,0.0
158866,social medium strategy,lead social medium strategist,"lead social medium strategist develop implement social medium strategy drive brand awareness, engagement, conversion. conduct audience research, create content plans, analyze social medium data optimize campaign performance. collaborate cross-functional team ensure social medium integration overall marketing efforts.",social medium service,director community management,"set community management strategy, oversees community engagement growth, ensures effective brand presence reputation management online communities.",282.0,0.68402046,170,-112.0,,1800,USD,306000,Low,0.0
158866,social medium strategy,social medium data analyst,"social medium data analyst analyze social medium data provide insight audience behavior, campaign performance, content effectiveness. use analytics tool track metrics, identify trends, make data-driven recommendations. collaborate social medium team stakeholder optimize social medium strategy achieve marketing objectives.",social medium service,associate director social medium communication,"assist developing social medium communication strategies, manages social medium content campaigns, support social medium team achieving objectives.",214.5,0.6837071,113,-101.5,,1800,USD,203400,Low,0.0
158866,social medium strategy,lead social medium strategist,"lead social medium strategist develop implement social medium strategy drive brand awareness, engagement, conversion. conduct audience research, create content plans, analyze social medium data optimize campaign performance. collaborate cross-functional team ensure social medium integration overall marketing efforts.",social medium service,influencer,"collaborates influencers, manages influencer partnerships, executes influencer marketing campaigns.",183.5,0.6813933,170,-13.5,,1800,USD,306000,Low,0.0
158866,medium planning buying,marketing research analyst,"marketing research analyst conduct research analysis provide insight market trends, consumer behavior, competitive landscape. collect data, perform statistical analysis, prepare research reports. collaborate stakeholder support strategic decision-making optimize marketing strategy tactics.",medium service,medium research analyst,"conduct medium research, analyzes audience market data, generates report recommendation medium campaigns.",104.0,0.6804008,101,-3.0,,1800,USD,181800,Low,0.0
158866,social medium strategy,social medium content writer,"social medium content writer create engaging compelling content social medium platforms. write posts, captions, message resonate target audience align brand voice guidelines. collaborate social medium team develop content strategy drive engagement brand awareness.",social medium service,director community management,"set community management strategy, oversees community engagement growth, ensures effective brand presence reputation management online communities.",282.0,0.6682425,133,-149.0,,1800,USD,239400,Low,0.0
158866,social medium strategy,social medium blogger,"social medium blogger create manage blog content social medium platforms. write engaging blog posts, incorporate relevant keywords, optimize content search engines. collaborate social medium team drive traffic, engagement, brand awareness blog content.",social medium service,director social medium communication,"set social medium communication strategy, oversees social medium campaigns, ensures effective brand messaging engagement social platforms.",272.0,0.6679123,110,-162.0,,1800,USD,198000,Low,0.0
158866,pr service,social medium influencer specialist,"social medium influencer specialist identify collaborate influencers promote product service social medium platforms. research evaluate potential influencers, negotiate partnerships, monitor influencer campaigns' performance. collaborate marketing team leverage influencer marketing achieve marketing goals.",social medium service,social medium strategist,"develops social medium strategies, manages social medium campaigns, analyzes social medium performance trends.",136.5,0.66220343,167,30.5,,1800,USD,300600,Low,54900.0
158866,social medium strategy,social medium blogger,"social medium blogger create manage blog content social medium platforms. write engaging blog posts, incorporate relevant keywords, optimize content search engines. collaborate social medium team drive traffic, engagement, brand awareness blog content.",social medium service,social medium strategist/planner,"develops social medium strategies, plan social medium campaigns, manages social medium content engagement initiatives.",145.5,0.6597137,110,-35.5,,1800,USD,198000,Low,0.0
158866,social medium strategy,social medium blogger,"social medium blogger create manage blog content social medium platforms. write engaging blog posts, incorporate relevant keywords, optimize content search engines. collaborate social medium team drive traffic, engagement, brand awareness blog content.",social medium service,social medium copywriter,"creates compelling engaging social medium content, writes copy social medium posts, ensures brand consistency.",139.0,0.655,110,-29.0,,1800,USD,198000,Low,0.0
158866,pr service,social medium influencer specialist,"social medium influencer specialist identify collaborate influencers promote product service social medium platforms. research evaluate potential influencers, negotiate partnerships, monitor influencer campaigns' performance. collaborate marketing team leverage influencer marketing achieve marketing goals.",social medium service,community manager,"manages online communities, engages follower influencers, foster brand advocacy community growth.",140.0,0.65167713,167,27.0,,1800,USD,300600,Low,48600.0
158866,social medium strategy,social medium blogger,"social medium blogger create manage blog content social medium platforms. write engaging blog posts, incorporate relevant keywords, optimize content search engines. collaborate social medium team drive traffic, engagement, brand awareness blog content.",social medium service,associate director social medium communication,"assist developing social medium communication strategies, manages social medium content campaigns, support social medium team achieving objectives.",214.5,0.64745647,110,-104.5,,1800,USD,198000,Low,0.0
158866,social medium strategy,lead social medium strategist,"lead social medium strategist develop implement social medium strategy drive brand awareness, engagement, conversion. conduct audience research, create content plans, analyze social medium data optimize campaign performance. collaborate cross-functional team ensure social medium integration overall marketing efforts.",social medium service,social medium analyst,"analyzes social medium data metrics, provides insight recommendations, optimizes social medium performance.",114.5,0.6446066,170,55.5,,1800,USD,306000,Low,99900.0
158866,social medium strategy,social medium blogger,"social medium blogger create manage blog content social medium platforms. write engaging blog posts, incorporate relevant keywords, optimize content search engines. collaborate social medium team drive traffic, engagement, brand awareness blog content.",social medium service,social medium strategist,"develops social medium strategies, manages social medium campaigns, analyzes social medium performance trends.",136.5,0.64371276,110,-26.5,,1800,USD,198000,Low,0.0
158866,pr service,social medium influencer specialist,"social medium influencer specialist identify collaborate influencers promote product service social medium platforms. research evaluate potential influencers, negotiate partnerships, monitor influencer campaigns' performance. collaborate marketing team leverage influencer marketing achieve marketing goals.",social medium service,senior social medium strategist,"develops advanced social medium strategies, conduct social medium audits, provides strategic guidance social medium campaigns.",164.0,0.6409144,167,3.0,,1800,USD,300600,Low,5400.0
158866,social medium strategy,social medium content writer,"social medium content writer create engaging compelling content social medium platforms. write posts, captions, message resonate target audience align brand voice guidelines. collaborate social medium team develop content strategy drive engagement brand awareness.",social medium service,senior social medium strategist,"develops advanced social medium strategies, conduct social medium audits, provides strategic guidance social medium campaigns.",164.0,0.6395574,133,-31.0,,1800,USD,239400,Low,0.0
158866,pr service,social medium influencer specialist,"social medium influencer specialist identify collaborate influencers promote product service social medium platforms. research evaluate potential influencers, negotiate partnerships, monitor influencer campaigns' performance. collaborate marketing team leverage influencer marketing achieve marketing goals.",social medium service,director social medium communication,"set social medium communication strategy, oversees social medium campaigns, ensures effective brand messaging engagement social platforms.",272.0,0.6358385,167,-105.0,,1800,USD,300600,Low,0.0
158866,social medium strategy,lead social medium strategist,"lead social medium strategist develop implement social medium strategy drive brand awareness, engagement, conversion. conduct audience research, create content plans, analyze social medium data optimize campaign performance. collaborate cross-functional team ensure social medium integration overall marketing efforts.",social medium service,community manager,"manages online communities, engages follower influencers, foster brand advocacy community growth.",140.0,0.6339298,170,30.0,,1800,USD,306000,Low,54000.0
158866,social medium strategy,social medium blogger,"social medium blogger create manage blog content social medium platforms. write engaging blog posts, incorporate relevant keywords, optimize content search engines. collaborate social medium team drive traffic, engagement, brand awareness blog content.",social medium service,director community management,"set community management strategy, oversees community engagement growth, ensures effective brand presence reputation management online communities.",282.0,0.6326184,110,-172.0,,1800,USD,198000,Low,0.0
158866,medium planning buying,sem specialist,"sem specialist manage search engine marketing (sem) campaigns, including pay-per-click (ppc) advertising. conduct keyword research, create ad campaigns, monitor performance, optimize campaign maximum roi. collaborate cross-functional team utilize analytics drive targeted traffic conversions.",medium service,search marketing specialist,"implement search marketing campaigns, conduct keyword research, optimizes search engine advertising optimization.",120.0,0.63251376,127,7.0,,1800,USD,228600,Low,12600.0
158866,social medium strategy,lead social medium strategist,"lead social medium strategist develop implement social medium strategy drive brand awareness, engagement, conversion. conduct audience research, create content plans, analyze social medium data optimize campaign performance. collaborate cross-functional team ensure social medium integration overall marketing efforts.",medium service,chief medium research officer/media research director,"set medium research strategy, oversees medium research initiatives, provides market insight audience analysis.",337.5,0.6302028,170,-167.5,,1800,USD,306000,Low,0.0
158866,pr service,social medium influencer specialist,"social medium influencer specialist identify collaborate influencers promote product service social medium platforms. research evaluate potential influencers, negotiate partnerships, monitor influencer campaigns' performance. collaborate marketing team leverage influencer marketing achieve marketing goals.",social medium service,social medium strategist/planner,"develops social medium strategies, plan social medium campaigns, manages social medium content engagement initiatives.",145.5,0.62949294,167,21.5,,1800,USD,300600,Low,38700.0
158866,pr service,social medium influencer specialist,"social medium influencer specialist identify collaborate influencers promote product service social medium platforms. research evaluate potential influencers, negotiate partnerships, monitor influencer campaigns' performance. collaborate marketing team leverage influencer marketing achieve marketing goals.",social medium service,associate director social medium communication,"assist developing social medium communication strategies, manages social medium content campaigns, support social medium team achieving objectives.",214.5,0.62901765,167,-47.5,,1800,USD,300600,Low,0.0
158866,social medium strategy,social medium data analyst,"social medium data analyst analyze social medium data provide insight audience behavior, campaign performance, content effectiveness. use analytics tool track metrics, identify trends, make data-driven recommendations. collaborate social medium team stakeholder optimize social medium strategy achieve marketing objectives.",medium service,medium research analyst,"conduct medium research, analyzes audience market data, generates report recommendation medium campaigns.",104.0,0.62412363,113,9.0,,1800,USD,203400,Low,16200.0
158866,social medium strategy,social medium content writer,"social medium content writer create engaging compelling content social medium platforms. write posts, captions, message resonate target audience align brand voice guidelines. collaborate social medium team develop content strategy drive engagement brand awareness.",social medium service,blogger,"creates maintains blog content, writes article posts, manages blog engagement promotion.",111.5,0.622816,133,21.5,,1800,USD,239400,Low,38700.0
158866,social medium strategy,social medium content writer,"social medium content writer create engaging compelling content social medium platforms. write posts, captions, message resonate target audience align brand voice guidelines. collaborate social medium team develop content strategy drive engagement brand awareness.",social medium service,community manager,"manages online communities, engages follower influencers, foster brand advocacy community growth.",140.0,0.6027581,133,-7.0,,1800,USD,239400,Low,0.0
158866,market research,senior research supervisor,"senior research supervisor oversee marketing research activity within company. design research studies, analyze data, provide strategic insight recommendations. collaborate stakeholder understand research objective deliver actionable finding drive marketing success.",medium service,search supervisor,"supervises search marketing campaigns, analyzes search performance data, optimizes search marketing strategies.",158.0,0.5996511,187,29.0,,1800,USD,336600,Low,52200.0
158866,social medium strategy,social medium blogger,"social medium blogger create manage blog content social medium platforms. write engaging blog posts, incorporate relevant keywords, optimize content search engines. collaborate social medium team drive traffic, engagement, brand awareness blog content.",social medium service,community manager,"manages online communities, engages follower influencers, foster brand advocacy community growth.",140.0,0.5987673,110,-30.0,,1800,USD,198000,Low,0.0
158866,social medium strategy,social medium data analyst,"social medium data analyst analyze social medium data provide insight audience behavior, campaign performance, content effectiveness. use analytics tool track metrics, identify trends, make data-driven recommendations. collaborate social medium team stakeholder optimize social medium strategy achieve marketing objectives.",social medium service,director community management,"set community management strategy, oversees community engagement growth, ensures effective brand presence reputation management online communities.",282.0,0.59434485,113,-169.0,,1800,USD,203400,Low,0.0
158866,social medium strategy,social medium data analyst,"social medium data analyst analyze social medium data provide insight audience behavior, campaign performance, content effectiveness. use analytics tool track metrics, identify trends, make data-driven recommendations. collaborate social medium team stakeholder optimize social medium strategy achieve marketing objectives.",social medium service,influencer,"collaborates influencers, manages influencer partnerships, executes influencer marketing campaigns.",183.5,0.59341174,113,-70.5,,1800,USD,203400,Low,0.0
158866,social medium strategy,social medium content writer,"social medium content writer create engaging compelling content social medium platforms. write posts, captions, message resonate target audience align brand voice guidelines. collaborate social medium team develop content strategy drive engagement brand awareness.",social medium service,influencer,"collaborates influencers, manages influencer partnerships, executes influencer marketing campaigns.",183.5,0.59235257,133,-50.5,,1800,USD,239400,Low,0.0
158866,medium planning buying,marketing research analyst,"marketing research analyst conduct research analysis provide insight market trends, consumer behavior, competitive landscape. collect data, perform statistical analysis, prepare research reports. collaborate stakeholder support strategic decision-making optimize marketing strategy tactics.",medium service,medium planner,"develops medium plans, conduct medium research analysis, negotiates medium buy placements.",117.0,0.59059334,101,-16.0,,1800,USD,181800,Low,0.0
158866,market research,senior research supervisor,"senior research supervisor oversee marketing research activity within company. design research studies, analyze data, provide strategic insight recommendations. collaborate stakeholder understand research objective deliver actionable finding drive marketing success.",medium service,chief medium research officer/media research director,"set medium research strategy, oversees medium research initiatives, provides market insight audience analysis.",337.5,0.59025735,187,-150.5,,1800,USD,336600,Low,0.0
158866,social medium strategy,social medium blogger,"social medium blogger create manage blog content social medium platforms. write engaging blog posts, incorporate relevant keywords, optimize content search engines. collaborate social medium team drive traffic, engagement, brand awareness blog content.",social medium service,senior social medium strategist,"develops advanced social medium strategies, conduct social medium audits, provides strategic guidance social medium campaigns.",164.0,0.5898996,110,-54.0,,1800,USD,198000,Low,0.0
158866,medium planning buying,marketing research analyst,"marketing research analyst conduct research analysis provide insight market trends, consumer behavior, competitive landscape. collect data, perform statistical analysis, prepare research reports. collaborate stakeholder support strategic decision-making optimize marketing strategy tactics.",medium service,chief medium research officer/media research director,"set medium research strategy, oversees medium research initiatives, provides market insight audience analysis.",337.5,0.5887849,101,-236.5,,1800,USD,181800,Low,0.0
158866,design service,creative writer,"creative writer develop engaging persuasive written content various marketing materials. write copy advertisements, articles, social medium posts, more. collaborate designers, strategists, team member create compelling narrative communicate brand message effectively.",social medium service,social medium copywriter,"creates compelling engaging social medium content, writes copy social medium posts, ensures brand consistency.",139.0,0.58562154,151,12.0,,1800,USD,271800,Low,21600.0
158866,pr service,social medium influencer specialist,"social medium influencer specialist identify collaborate influencers promote product service social medium platforms. research evaluate potential influencers, negotiate partnerships, monitor influencer campaigns' performance. collaborate marketing team leverage influencer marketing achieve marketing goals.",social medium service,social medium analyst,"analyzes social medium data metrics, provides insight recommendations, optimizes social medium performance.",114.5,0.5783335,167,52.5,,1800,USD,300600,Low,94500.0
158866,pr service,social medium influencer specialist,"social medium influencer specialist identify collaborate influencers promote product service social medium platforms. research evaluate potential influencers, negotiate partnerships, monitor influencer campaigns' performance. collaborate marketing team leverage influencer marketing achieve marketing goals.",social medium service,director community management,"set community management strategy, oversees community engagement growth, ensures effective brand presence reputation management online communities.",282.0,0.5687099,167,-115.0,,1800,USD,300600,Low,0.0
158866,social medium strategy,social medium data analyst,"social medium data analyst analyze social medium data provide insight audience behavior, campaign performance, content effectiveness. use analytics tool track metrics, identify trends, make data-driven recommendations. collaborate social medium team stakeholder optimize social medium strategy achieve marketing objectives.",medium service,chief medium research officer/media research director,"set medium research strategy, oversees medium research initiatives, provides market insight audience analysis.",337.5,0.5590239,113,-224.5,,1800,USD,203400,Low,0.0
158866,medium planning buying,sem specialist,"sem specialist manage search engine marketing (sem) campaigns, including pay-per-click (ppc) advertising. conduct keyword research, create ad campaigns, monitor performance, optimize campaign maximum roi. collaborate cross-functional team utilize analytics drive targeted traffic conversions.",medium service,search supervisor,"supervises search marketing campaigns, analyzes search performance data, optimizes search marketing strategies.",158.0,0.5577294,127,-31.0,,1800,USD,228600,Low,0.0
158866,social medium strategy,social medium blogger,"social medium blogger create manage blog content social medium platforms. write engaging blog posts, incorporate relevant keywords, optimize content search engines. collaborate social medium team drive traffic, engagement, brand awareness blog content.",social medium service,social medium analyst,"analyzes social medium data metrics, provides insight recommendations, optimizes social medium performance.",114.5,0.5567894,110,-4.5,,1800,USD,198000,Low,0.0
158866,medium planning buying,sem specialist,"sem specialist manage search engine marketing (sem) campaigns, including pay-per-click (ppc) advertising. conduct keyword research, create ad campaigns, monitor performance, optimize campaign maximum roi. collaborate cross-functional team utilize analytics drive targeted traffic conversions.",medium service,search director,"set search marketing strategy, oversees search campaigns, ensures effective search engine optimization advertising.",249.0,0.5528313,127,-122.0,,1800,USD,228600,Low,0.0
158866,content creation,chief content officer,"chief content officer responsible developing overseeing content strategy execution across various marketing channels. lead content creation, ensure consistency brand messaging, drive engagement target audiences. collaborate cross-functional team stakeholder align content marketing goal achieve business objectives.",medium service,chief medium research officer/media research director,"set medium research strategy, oversees medium research initiatives, provides market insight audience analysis.",337.5,0.5477309,448,110.5,,1800,USD,806400,Low,198900.0
158866,medium planning buying,marketing research analyst,"marketing research analyst conduct research analysis provide insight market trends, consumer behavior, competitive landscape. collect data, perform statistical analysis, prepare research reports. collaborate stakeholder support strategic decision-making optimize marketing strategy tactics.",medium service,medium research manager,"manages medium research projects, collect analyzes medium data, provides insight medium planning strategy.",145.5,0.5380609,101,-44.5,,1800,USD,181800,Low,0.0
158866,pr service,social medium influencer specialist,"social medium influencer specialist identify collaborate influencers promote product service social medium platforms. research evaluate potential influencers, negotiate partnerships, monitor influencer campaigns' performance. collaborate marketing team leverage influencer marketing achieve marketing goals.",social medium service,social medium copywriter,"creates compelling engaging social medium content, writes copy social medium posts, ensures brand consistency.",139.0,0.52732265,167,28.0,,1800,USD,300600,Low,50400.0
158866,commerce strategy,sr. strategy associate,"senior strategy associate contribute development execution marketing strategies. conduct research, analyze data, provide insight support strategic decision-making. work closely senior strategists, collaborate cross-functional teams, assist driving business growth success effective marketing initiatives.",medium service,executive medium director,"set medium strategy direction, oversees medium planning buying activities, ensures effective medium campaign roi.",405.0,0.52526605,175,-230.0,,1800,USD,315000,Low,0.0
158866,commerce strategy,sr. strategy associate,"senior strategy associate contribute development execution marketing strategies. conduct research, analyze data, provide insight support strategic decision-making. work closely senior strategists, collaborate cross-functional teams, assist driving business growth success effective marketing initiatives.",medium service,associate medium director,"assist medium account management, support medium planning buying, contributes medium strategy development.",185.5,0.5251153,175,-10.5,,1800,USD,315000,Low,0.0
158866,medium planning buying,marketing research analyst,"marketing research analyst conduct research analysis provide insight market trends, consumer behavior, competitive landscape. collect data, perform statistical analysis, prepare research reports. collaborate stakeholder support strategic decision-making optimize marketing strategy tactics.",medium service,medium planning supervisor,"supervises medium planning processes, analyzes target audience market trends, develops medium plan strategies.",151.5,0.5231691,101,-50.5,,1800,USD,181800,Low,0.0
158866,content creation,chief content officer,"chief content officer responsible developing overseeing content strategy execution across various marketing channels. lead content creation, ensure consistency brand messaging, drive engagement target audiences. collaborate cross-functional team stakeholder align content marketing goal achieve business objectives.",social medium service,social medium strategist/planner,"develops social medium strategies, plan social medium campaigns, manages social medium content engagement initiatives.",145.5,0.5208536,448,302.5,,1800,USD,806400,Low,544500.0
158866,copy editing,copy proofreader,"copy proofreader review edit written content ensure accuracy, clarity, adherence brand guideline grammar rules. check spelling, punctuation, formatting errors, suggest improvement enhance readability consistency. collaborate writer editor produce error-free polished marketing materials.",social medium service,social medium copywriter,"creates compelling engaging social medium content, writes copy social medium posts, ensures brand consistency.",139.0,0.5203564,108,-31.0,,1800,USD,194400,Low,0.0
158866,medium planning buying,marketing research analyst,"marketing research analyst conduct research analysis provide insight market trends, consumer behavior, competitive landscape. collect data, perform statistical analysis, prepare research reports. collaborate stakeholder support strategic decision-making optimize marketing strategy tactics.",medium service,search marketing specialist,"implement search marketing campaigns, conduct keyword research, optimizes search engine advertising optimization.",120.0,0.51655084,101,-19.0,,1800,USD,181800,Low,0.0
158866,design service,creative writer,"creative writer develop engaging persuasive written content various marketing materials. write copy advertisements, articles, social medium posts, more. collaborate designers, strategists, team member create compelling narrative communicate brand message effectively.",social medium service,blogger,"creates maintains blog content, writes article posts, manages blog engagement promotion.",111.5,0.51411915,151,39.5,,1800,USD,271800,Low,71100.0
158866,market research,senior research supervisor,"senior research supervisor oversee marketing research activity within company. design research studies, analyze data, provide strategic insight recommendations. collaborate stakeholder understand research objective deliver actionable finding drive marketing success.",medium service,medium research analyst,"conduct medium research, analyzes audience market data, generates report recommendation medium campaigns.",104.0,0.5128511,187,83.0,,1800,USD,336600,Low,149400.0
158866,market research,senior research supervisor,"senior research supervisor oversee marketing research activity within company. design research studies, analyze data, provide strategic insight recommendations. collaborate stakeholder understand research objective deliver actionable finding drive marketing success.",medium service,search marketing specialist,"implement search marketing campaigns, conduct keyword research, optimizes search engine advertising optimization.",120.0,0.51235795,187,67.0,,1800,USD,336600,Low,120600.0
158866,commerce strategy,sr. strategy associate,"senior strategy associate contribute development execution marketing strategies. conduct research, analyze data, provide insight support strategic decision-making. work closely senior strategists, collaborate cross-functional teams, assist driving business growth success effective marketing initiatives.",social medium service,senior social medium strategist,"develops advanced social medium strategies, conduct social medium audits, provides strategic guidance social medium campaigns.",164.0,0.51012254,175,11.0,,1800,USD,315000,Low,19800.0
158866,pr service,account management executive,"account management executive support account management team maintaining client relationship meeting needs. assist project coordination, communication clients, ensuring timely delivery services. may also participate account planning contribute client strategy development.",medium service,associate medium director,"assist medium account management, support medium planning buying, contributes medium strategy development.",185.5,0.51003134,140,-45.5,,1800,USD,252000,Low,0.0
158866,business strategy,junior account planner,"junior account planner support development marketing strategy plans. conduct market research, analyze consumer insights, assist creating targeted marketing campaigns. collaborate account planner stakeholder align marketing effort business goal customer needs.",medium service,associate medium director,"assist medium account management, support medium planning buying, contributes medium strategy development.",185.5,0.5077052,137,-48.5,,1800,USD,246600,Low,0.0
158866,commerce strategy,e-commerce director,"e-commerce director lead e-commerce function within marketing company. develop implement e-commerce strategies, oversee online sale channels, drive revenue growth online platforms. collaborate cross-functional team optimize user experience, increase conversion rates, achieve e-commerce objectives.",medium service,search director,"set search marketing strategy, oversees search campaigns, ensures effective search engine optimization advertising.",249.0,0.50731117,219,-30.0,,1800,USD,394200,Low,0.0
158866,commerce strategy,sr. strategy associate,"senior strategy associate contribute development execution marketing strategies. conduct research, analyze data, provide insight support strategic decision-making. work closely senior strategists, collaborate cross-functional teams, assist driving business growth success effective marketing initiatives.",medium service,search director,"set search marketing strategy, oversees search campaigns, ensures effective search engine optimization advertising.",249.0,0.50437725,175,-74.0,,1800,USD,315000,Low,0.0
